pdb,res,year,neglog_aff,affinity,ref,ligand,measurement
2d55,3,1995,0.585480515,35nM,209d.pdf,PXZ,IC50
209d,3,1995,0.294836717,10uM,209d.pdf,PXA,IC50
1arj,NMR,1996,0.058149542,1mM,1arj.pdf,ARG,Kd
316d,3,1997,0.54455805,77.6nM,316d.pdf,PXF,IC50
407d,2.2,1998,0.46802564,344nM,407d.pdf,HP1,Kd
408d,2.1,1998,0.569246947,48nM,407d.pdf,IPY,Kd
1qms,NMR,1999,0.768211066,1nM,1qms.pdf,CCI,Kd
1byj,NMR,1999,0.377555334,2uM,1byj.pdf,GE1,Kd
1db6,NMR,2000,0.176493129,0.1mM,1db6.pdf,AAR,Kd
1cvy,2.15,2000,0.462910221,0.38uM,1cvx.pdf,IPY,Kd
454d,1.2,2000,0.649867479,10nM,454d.pdf,RHM,Kd
1cvx,2.27,2000,0.289938158,11uM,1cvx.pdf,HP2,Kd
1f27,1.3,2000,0.413180304,1uM,1f27.pdf,BTN,Kd
1f1t,2.8,2000,0.57861754,40nM,1f1t.pdf,ROS,Kd
1qd3,NMR,2000,0.321954912,5.9uM,1qd3.pdf,RIB,Kd
1fyp,NMR,2001,0.366086656,2.5uM,1fyp.pdf,PAR,Kd
1i9v,2.6,2001,0.113294564,342uM,1i9v.pdf,NMY,Ki
1nzm,NMR,2003,0.470161092,0.33uM,1nzm.pdf,LG1,IC50
1p96,NMR,2003,0.36527083,2.54uM,1p96.pdf,DDI,Kd
1qv8,2.5,2004,0.524789567,114nM,1qv4.pdf,BBZ,Kd
1qv4,2.5,2004,0.520468034,124nM,1qv4.pdf,MBB,Kd
1r4e,NMR,2004,0.327176799,5.33uM,1r4e.pdf,DDI,Kd
1q8n,NMR,2004,0.424648983,800nM,1q8n.pdf,MGR,Kd
1uts,NMR,2004,0.579918773,0.039uM,1uts.pdf,P13,Ki
1uud,NMR,2004,0.390988429,1.54uM,1uud.pdf,P14,Ki
1yrj,2.7,2005,0.495898922,0.2uM,1yrj.pdf,AM2,IC50
2bee,2.6,2005,0.531523891,0.10uM,2be0.pdf,JS4,Kd
2be0,2.63,2005,0.518039426,0.13uM,2be0.pdf,JS5,Kd
1ykv,3.3,2005,0.294836717,10uM,1yKv.pdf,DAI,Kd
2g5k,2.8,2006,0.448805274,0.5uM,2g5K.pdf,AM2,Kd
2b57,2.15,2006,0.622595327,17nM,2b57.pdf,6AP,Kd
2f4s,2.8,2006,0.261848015,19uM,2f4s.pdf,XXX,Kd
2f4t,3,2006,0.372656776,2.2uM,2f4s.pdf,AB9,Kd
