pdb,label
2d55,7.455931956
209d,5
1arj,3
316d,7.110138279
407d,6.463441557
408d,7.318758763
1qms,9
1byj,5.698970004
1db6,4
1cvy,6.420216403
454d,8
1cvx,4.958607315
1f27,6
1f1t,7.397940009
1qd3,5.229147988
1fyp,5.602059991
1i9v,3.465973894
1nzm,6.48148606
1p96,5.595166283
1qv8,6.943095149
1qv4,6.906578315
1r4e,5.273272791
1q8n,6.096910013
1uts,7.408935393
1uud,5.812479279
1yrj,6.698970004
2bee,7
2be0,6.886056648
1ykv,5
2g5k,6.301029996
2b57,7.769551079
2f4s,4.721246399
2f4t,5.657577319
2g9c,5.698970004
2f4u,5.229147988
2au4,7.124938737
2o3w,5.585026652
3b31,8.698970004
2o3x,4.301029996
2jwq,6.428291168
3e5c,9.244125144
3fo4,6.142667504
3ger,6.050609993
2kgp,6
3fu2,7.698970004
3ges,4.698970004
3fo6,4.638272164
3gog,4.619788758
3ds7,4.408935393
3gao,4.408935393
3g4m,5.356547324
3got,5.397940009
3jq4,5
3mum,9.677780705
3mxh,10.95860731
3mur,7.823908741
3la5,6
2ku0,5.585026652
3owz,5.455931956
3npn,7.494850022
2kx8,5.199970641
2ktz,5.045757491
2ygh,6.508638306
2ydh,5.709965389
2xo1,4
2xnz,3.958607315
3sd3,4.744727495
3q50,8.688246139
3q3z,8.657577319
2l94,3.443697499
2xnw,3.431798276
3slm,3.42136079
2xo0,4.096910013
3s4p,6
4aob,6.30980392
4fe5,6.135488919
2loa,5.657577319
4erj,2.508638306
2lwk,4.296708622
4erl,3.244125144
2mb3,5.13076828
4jf2,7.747146969
4kqy,7.721246399
4oqu,6.387216143
4lvz,6.301029996
4nyg,5.823908741
4nyb,3.987162775
4lvy,3.958607315
4lvx,4.744727495
4qln,5.537602002
4lx5,6.671620397
4nyc,3.552841969
4qk8,6.522878745
4qk9,6.522878745
4nya,4.30980392
4w90,7.274905479
4ts0,6.27572413
4ts2,6.27572413
4qlm,7.180456064
4lvw,4.180456064
4nyd,3.173925197
4l81,5.13667714
4lw0,5.096910013
4lvv,5.017728767
4lx6,7.022276395
2mg8,6.015472687
4yb0,6.031517051
4xwf,5.966576245
4znp,5.327902142
5c7u,7.37675071
5btp,6.312471039
5c7w,7.318758763
2mxs,5.292429824
4rzd,8.187086643
4yaz,7.175874166
2n0j,6.48148606
5cdb,5.958607315
5lwj,5.543178652
5kpy,5.408935393
5uee,3.698970004
5v3f,8.522878745
5z80,5.913640169
6dmc,6.292429824
6c65,9.045757491
6c63,8.958607315
6c64,8.853871964
6ck4,5.744727495
5w77,4.782516056
6ck5,5.698970004
6fz0,5.359518563
6dlt,4.227678293
6e84,5.853871964
6j2w,5.853871964
6e8t,8.769551079
6qn3,3.721246399
6e8s,8.638272164
6hmo,4.552841969
6hag,5.431798276
6p2h,7.468521083
6jj0,7.443697499
6e81,5.522878745
6e8u,8.337242168
6hbt,5.327902142
6sx3,5.15490196
